Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,Total Price
12/11/2020,OPC-Bulk,317.39,800,80,45,253912
12/11/2020,OPC-Bulk,286.96,97.3,9.73,40,27921.21
12/11/2020,PPC-Bag,282.61,400,40,120,113044
12/11/2020,OPC-Bulk,317.39,6945.3,694.53,40,2204368.77
12/11/2020,PPC-Bag,282.61,400,40,120,113044
12/11/2020,PPC-Bag,282.61,400,40,120,113044
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,321.74,1000,100,45,321740
12/11/2020,OPC-Bulk,317.39,2000,200,45,634780
12/12/2020,PPC-Bag,282.61,400,40,120,113044
12/12/2020,PPC-Bag,282.61,400,40,120,113044
12/12/2020,PPC-Bag,282.61,400,40,120,113044
12/12/2020,PPC-Bag,282.61,400,40,120,113044
12/12/2020,PPC-Bag,282.61,400,40,120,113044
12/14/2020,OPC-Bulk,317.39,800,80,45,253912
12/14/2020,PPC-Bag,282.61,400,40,120,113044
12/14/2020,OPC-Bulk,271.48,142.2,14.22,35,38604.46
12/14/2020,OPC-Bulk,317.39,4000,400,45,1269560
12/14/2020,OPC-Bulk,300,818.6,81.86,40,245580
12/14/2020,OPC-Bulk,286.96,2000,200,40,573920
12/15/2020,PPC-Bag,282.61,400,40,120,113044
12/15/2020,PPC-Bag,282.61,400,40,120,113044
12/15/2020,OPC-Bulk,317.39,400,40,45,126956
12/15/2020,PPC-Bag,282.61,400,40,120,113044
12/15/2020,PPC-Bag,282.61,400,40,40,113044
12/15/2020,PPC-Bag,282.61,400,40,40,113044
12/15/2020,PPC-Bag,282.61,400,40,40,113044
12/15/2020,OPC-Bulk,317.39,2000,200,45,634780
12/15/2020,PPC-Bag,282.61,400,40,0,113044
12/16/2020,OPC-Bulk,317.39,6138.1,613.81,40,1948171.56
12/16/2020,PPC-Bag,282.61,400,40,120,113044
12/16/2020,PPC-Bag,269.57,400,40,150,107828
12/16/2020,PPC-Bag,282.61,400,40,120,113044
12/17/2020,PPC-Bag,282.61,400,40,130,113044
12/17/2020,PPC-Bag,269.57,400,40,150,107828
12/17/2020,PPC-Bag,269.57,400,40,150,107828
12/18/2020,OPC-Bulk,317.39,2000,200,45,634780
12/18/2020,OPC-Bulk,317.39,400,40,45,126956
12/19/2020,OPC-Bag,343.48,400,40,120,137392
12/19/2020,OPC-Bag,343.48,400,40,120,137392
12/19/2020,OPC-Bag,343.48,400,40,120,137392
12/19/2020,OPC-Bag,343.48,400,40,120,137392
12/19/2020,OPC-Bag,343.48,400,40,120,137392
12/19/2020,PPC-Bag,269.57,400,40,150,107828
12/22/2020,PPC-Bag,282.61,400,40,135,113044
12/23/2020,PPC-Bag,282.61,400,40,135,113044
12/24/2020,PPC-Bag,269.57,430,43,150,115915.1
12/24/2020,PPC-Bag,269.57,430,43,150,115915.1
12/26/2020,OPC-Bulk,317.39,7000,700,40,2221730
12/26/2020,OPC-Bulk,291.3,1500,150,45,436950
12/26/2020,OPC-Bulk,291.3,1500,150,45,436950
12/26/2020,OPC-Bulk,291.3,1996,199.6,45,581434.8
12/26/2020,OPC-Bulk,291.3,1500,150,45,436950
12/26/2020,OPC-Bulk,321.74,2006,200.6,45,645410.44
12/26/2020,OPC-Bulk,291.3,1500,150,45,436950
12/28/2020,OPC-Bulk,317.39,1954.6,195.46,40,620370.49
12/28/2020,OPC-Bulk,317.39,2000,200,45,634780
12/30/2020,OPC-Bulk,317.39,1200,120,45,380868
12/30/2020,OPC-Bulk,317.39,7000,700,40,2221730
12/31/2020,OPC-Bulk,317.39,1600,160,45,507824
12/31/2020,OPC-Bulk,317.39,1600,160,45,507824
12/31/2020,PPC-Bag,282.61,400,40,135,113044
